"timestamp","host_id","property_name","new_value"
15300,"renewable_heavy_host","energy_mix","Biomass:0.36;Fossil Gas:7.31;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.47;Hydro Run-of-river and pondage:6.42;Hydro Water Reservoir:4.10;Nuclear:75.88;Solar:0.00;Waste:0.52;Wind Offshore:1.05;Wind Onshore:3.79;Energy storage:0.01"
16200,"renewable_heavy_host","energy_mix","Biomass:0.36;Fossil Gas:7.12;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.46;Hydro Run-of-river and pondage:6.44;Hydro Water Reservoir:4.10;Nuclear:75.81;Solar:0.00;Waste:0.52;Wind Offshore:1.16;Wind Onshore:3.95;Energy storage:0.01"
17100,"renewable_heavy_host","energy_mix","Biomass:0.36;Fossil Gas:6.67;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.47;Hydro Run-of-river and pondage:6.44;Hydro Water Reservoir:4.09;Nuclear:75.92;Solar:0.00;Waste:0.52;Wind Offshore:1.35;Wind Onshore:4.08;Energy storage:0.01"
18000,"renewable_heavy_host","energy_mix","Biomass:0.36;Fossil Gas:6.43;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.35;Hydro Run-of-river and pondage:6.53;Hydro Water Reservoir:3.95;Nuclear:75.96;Solar:0.00;Waste:0.52;Wind Offshore:1.53;Wind Onshore:4.26;Energy storage:0.01"
18900,"renewable_heavy_host","energy_mix","Biomass:0.36;Fossil Gas:6.34;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.37;Hydro Run-of-river and pondage:6.63;Hydro Water Reservoir:3.99;Nuclear:75.59;Solar:0.00;Waste:0.52;Wind Offshore:1.62;Wind Onshore:4.47;Energy storage:0.01"
19800,"renewable_heavy_host","energy_mix","Biomass:0.35;Fossil Gas:6.40;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.36;Hydro Run-of-river and pondage:6.62;Hydro Water Reservoir:4.11;Nuclear:75.15;Solar:0.00;Waste:0.51;Wind Offshore:1.70;Wind Onshore:4.67;Energy storage:0.01"
20700,"renewable_heavy_host","energy_mix","Biomass:0.35;Fossil Gas:6.32;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.34;Hydro Run-of-river and pondage:6.62;Hydro Water Reservoir:4.14;Nuclear:74.87;Solar:0.00;Waste:0.51;Wind Offshore:1.76;Wind Onshore:4.98;Energy storage:0.01"
21600,"renewable_heavy_host","energy_mix","Biomass:0.36;Fossil Gas:6.21;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.32;Hydro Run-of-river and pondage:6.98;Hydro Water Reservoir:4.14;Nuclear:74.21;Solar:0.00;Waste:0.51;Wind Offshore:1.78;Wind Onshore:5.39;Energy storage:0.00"
22500,"renewable_heavy_host","energy_mix","Biomass:0.36;Fossil Gas:6.22;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.34;Hydro Run-of-river and pondage:7.03;Hydro Water Reservoir:4.13;Nuclear:73.84;Solar:0.00;Waste:0.50;Wind Offshore:1.88;Wind Onshore:5.59;Energy storage:0.00"
23400,"renewable_heavy_host","energy_mix","Biomass:0.36;Fossil Gas:5.94;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.32;Hydro Run-of-river and pondage:7.04;Hydro Water Reservoir:4.39;Nuclear:73.55;Solar:0.00;Waste:0.50;Wind Offshore:1.96;Wind Onshore:5.84;Energy storage:0.00"
24300,"renewable_heavy_host","energy_mix","Biomass:0.37;Fossil Gas:5.83;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.30;Hydro Run-of-river and pondage:7.15;Hydro Water Reservoir:4.48;Nuclear:73.15;Solar:0.00;Waste:0.50;Wind Offshore:1.97;Wind Onshore:6.15;Energy storage:0.00"
25200,"renewable_heavy_host","energy_mix","Biomass:0.37;Fossil Gas:5.91;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.26;Hydro Run-of-river and pondage:7.18;Hydro Water Reservoir:4.39;Nuclear:72.60;Solar:0.34;Waste:0.50;Wind Offshore:2.00;Wind Onshore:6.35;Energy storage:0.00"
26100,"renewable_heavy_host","energy_mix","Biomass:0.36;Fossil Gas:6.00;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.41;Hydro Run-of-river and pondage:7.13;Hydro Water Reservoir:4.36;Nuclear:72.09;Solar:0.43;Waste:0.49;Wind Offshore:2.03;Wind Onshore:6.60;Energy storage:0.00"
27000,"renewable_heavy_host","energy_mix","Biomass:0.36;Fossil Gas:6.03;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.46;Hydro Run-of-river and pondage:7.14;Hydro Water Reservoir:4.38;Nuclear:71.60;Solar:0.61;Waste:0.49;Wind Offshore:2.06;Wind Onshore:6.77;Energy storage:0.00"
27900,"renewable_heavy_host","energy_mix","Biomass:0.36;Fossil Gas:6.21;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.46;Hydro Run-of-river and pondage:7.13;Hydro Water Reservoir:4.43;Nuclear:70.97;Solar:0.90;Waste:0.49;Wind Offshore:2.04;Wind Onshore:6.92;Energy storage:0.00"
28800,"renewable_heavy_host","energy_mix","Biomass:0.36;Fossil Gas:5.98;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.28;Hydro Run-of-river and pondage:7.12;Hydro Water Reservoir:4.76;Nuclear:70.47;Solar:1.36;Waste:0.48;Wind Offshore:2.05;Wind Onshore:7.03;Energy storage:0.02"
29700,"renewable_heavy_host","energy_mix","Biomass:0.35;Fossil Gas:6.00;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.30;Hydro Run-of-river and pondage:7.04;Hydro Water Reservoir:4.79;Nuclear:69.67;Solar:1.97;Waste:0.48;Wind Offshore:2.10;Wind Onshore:7.20;Energy storage:0.02"
30600,"renewable_heavy_host","energy_mix","Biomass:0.35;Fossil Gas:5.83;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.32;Hydro Run-of-river and pondage:6.95;Hydro Water Reservoir:4.79;Nuclear:69.18;Solar:2.67;Waste:0.47;Wind Offshore:2.12;Wind Onshore:7.21;Energy storage:0.02"
31500,"renewable_heavy_host","energy_mix","Biomass:0.35;Fossil Gas:5.72;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.30;Hydro Run-of-river and pondage:6.84;Hydro Water Reservoir:4.68;Nuclear:68.65;Solar:3.54;Waste:0.47;Wind Offshore:2.13;Wind Onshore:7.22;Energy storage:0.02"
32400,"renewable_heavy_host","energy_mix","Biomass:0.35;Fossil Gas:5.64;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.34;Hydro Run-of-river and pondage:6.47;Hydro Water Reservoir:4.52;Nuclear:68.13;Solar:4.43;Waste:0.47;Wind Offshore:2.17;Wind Onshore:7.36;Energy storage:0.03"
33300,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:5.25;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.55;Hydro Run-of-river and pondage:6.32;Hydro Water Reservoir:4.51;Nuclear:67.38;Solar:5.33;Waste:0.46;Wind Offshore:2.23;Wind Onshore:7.52;Energy storage:0.03"
34200,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:4.71;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.54;Hydro Run-of-river and pondage:6.22;Hydro Water Reservoir:4.17;Nuclear:67.20;Solar:6.18;Waste:0.46;Wind Offshore:2.26;Wind Onshore:7.79;Energy storage:0.02"
35100,"renewable_heavy_host","energy_mix","Biomass:0.35;Fossil Gas:4.27;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.40;Hydro Run-of-river and pondage:6.19;Hydro Water Reservoir:4.04;Nuclear:66.91;Solar:7.09;Waste:0.46;Wind Offshore:2.26;Wind Onshore:7.92;Energy storage:0.02"
36000,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:4.56;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.33;Hydro Run-of-river and pondage:6.06;Hydro Water Reservoir:4.07;Nuclear:66.11;Solar:7.87;Waste:0.46;Wind Offshore:2.24;Wind Onshore:7.86;Energy storage:0.01"
36900,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:4.61;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.33;Hydro Run-of-river and pondage:5.95;Hydro Water Reservoir:3.98;Nuclear:65.68;Solar:8.55;Waste:0.45;Wind Offshore:2.23;Wind Onshore:7.80;Energy storage:0.00"
37800,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:4.56;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.33;Hydro Run-of-river and pondage:5.84;Hydro Water Reservoir:3.79;Nuclear:65.35;Solar:9.29;Waste:0.45;Wind Offshore:2.22;Wind Onshore:7.74;Energy storage:0.00"
38700,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:4.46;Fossil Hard coal:0.00;Fossil Oil:0.08;Hydro Pumped Storage:0.28;Hydro Run-of-river and pondage:5.80;Hydro Water Reservoir:3.69;Nuclear:65.17;Solar:9.83;Waste:0.45;Wind Offshore:2.22;Wind Onshore:7.68;Energy storage:0.00"
39600,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:4.46;Fossil Hard coal:0.00;Fossil Oil:0.08;Hydro Pumped Storage:0.33;Hydro Run-of-river and pondage:5.67;Hydro Water Reservoir:3.79;Nuclear:64.89;Solar:10.16;Waste:0.45;Wind Offshore:2.20;Wind Onshore:7.60;Energy storage:0.01"
40500,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:4.37;Fossil Hard coal:0.00;Fossil Oil:0.08;Hydro Pumped Storage:0.28;Hydro Run-of-river and pondage:5.64;Hydro Water Reservoir:3.65;Nuclear:64.84;Solar:10.51;Waste:0.45;Wind Offshore:2.20;Wind Onshore:7.61;Energy storage:0.01"
41400,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:4.40;Fossil Hard coal:0.00;Fossil Oil:0.08;Hydro Pumped Storage:0.31;Hydro Run-of-river and pondage:5.68;Hydro Water Reservoir:3.71;Nuclear:64.49;Solar:10.67;Waste:0.44;Wind Offshore:2.20;Wind Onshore:7.65;Energy storage:0.01"
42300,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:4.19;Fossil Hard coal:0.00;Fossil Oil:0.08;Hydro Pumped Storage:0.27;Hydro Run-of-river and pondage:5.67;Hydro Water Reservoir:3.44;Nuclear:64.80;Solar:10.75;Waste:0.44;Wind Offshore:2.21;Wind Onshore:7.79;Energy storage:0.01"
43200,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:4.52;Fossil Hard coal:0.00;Fossil Oil:0.08;Hydro Pumped Storage:0.36;Hydro Run-of-river and pondage:5.53;Hydro Water Reservoir:3.28;Nuclear:64.65;Solar:10.72;Waste:0.44;Wind Offshore:2.22;Wind Onshore:7.85;Energy storage:0.01"
44100,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:4.37;Fossil Hard coal:0.00;Fossil Oil:0.08;Hydro Pumped Storage:0.31;Hydro Run-of-river and pondage:5.37;Hydro Water Reservoir:3.09;Nuclear:64.82;Solar:10.84;Waste:0.45;Wind Offshore:2.24;Wind Onshore:8.09;Energy storage:0.00"
45000,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:4.12;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.19;Hydro Run-of-river and pondage:5.23;Hydro Water Reservoir:2.86;Nuclear:65.46;Solar:10.66;Waste:0.45;Wind Offshore:2.26;Wind Onshore:8.34;Energy storage:0.00"
45900,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:3.95;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.16;Hydro Run-of-river and pondage:5.23;Hydro Water Reservoir:2.80;Nuclear:65.70;Solar:10.44;Waste:0.45;Wind Offshore:2.26;Wind Onshore:8.58;Energy storage:0.00"
