user_ID,group_ID,submit_time,start_time,end_time,wallclock_limit,job_status,node_count,tasks_requested
72,72,2012-12-13 00:00:35+00:00,2012-12-13 00:00:45+00:00,2012-12-13 00:00:56+00:00,0 days 00:01:00.000000000,COMPLETED,1,24
72,72,2012-12-13 00:01:18+00:00,2012-12-13 00:01:29+00:00,2012-12-13 00:01:41+00:00,0 days 00:01:00.000000000,COMPLETED,2,48
72,72,2012-12-13 00:01:34+00:00,2012-12-13 00:01:43+00:00,2012-12-13 00:07:53+00:00,0 days 01:00:00.000000000,COMPLETED,100,2400
72,72,2012-12-13 00:01:46+00:00,2012-12-13 00:01:54+00:00,2012-12-13 00:02:19+00:00,0 days 00:01:00.000000000,COMPLETED,2,48
72,72,2012-12-13 00:02:29+00:00,2012-12-13 00:02:37+00:00,2012-12-13 00:02:49+00:00,0 days 00:01:00.000000000,COMPLETED,2,48
72,72,2012-12-13 00:03:11+00:00,2012-12-13 00:03:19+00:00,2012-12-13 00:03:31+00:00,0 days 00:06:00.000000000,COMPLETED,1,24
72,72,2012-12-13 00:03:12+00:00,2012-12-13 00:03:19+00:00,2012-12-13 00:03:44+00:00,0 days 00:01:00.000000000,COMPLETED,2,48
72,72,2012-12-13 00:03:12+00:00,2012-12-13 00:03:19+00:00,2012-12-13 00:03:31+00:00,0 days 00:06:00.000000000,COMPLETED,1,24
72,72,2012-12-13 00:03:54+00:00,2012-12-13 00:04:02+00:00,2012-12-13 00:04:14+00:00,0 days 00:01:00.000000000,COMPLETED,2,48
72,72,2012-12-13 00:04:38+00:00,2012-12-13 00:04:46+00:00,2012-12-13 00:05:31+00:00,0 days 00:10:00.000000000,COMPLETED,1,24
72,72,2012-12-13 00:04:48+00:00,2012-12-13 00:04:56+00:00,2012-12-13 00:05:08+00:00,0 days 00:01:00.000000000,COMPLETED,1,24
72,72,2012-12-13 00:06:03+00:00,2012-12-13 00:06:11+00:00,2012-12-13 00:06:13+00:00,0 days 00:05:00.000000000,COMPLETED,1,24
72,72,2012-12-13 00:08:03+00:00,2012-12-13 00:08:11+00:00,2012-12-13 00:14:05+00:00,0 days 01:00:00.000000000,COMPLETED,100,2400
316,318,2012-12-13 00:22:34+00:00,2012-12-13 16:22:44+00:00,2012-12-14 08:22:45+00:00,0 days 16:00:00.000000000,TIMEOUT,11,264
127,176,2012-12-13 00:40:20+00:00,2012-12-13 00:40:28+00:00,2012-12-13 00:43:04+00:00,0 days 01:00:00.000000000,COMPLETED,1,24
86,87,2012-12-13 00:52:38+00:00,2012-12-13 00:52:46+00:00,2012-12-13 01:29:57+00:00,0 days 16:00:00.000000000,CANCELLED,256,6144
86,87,2012-12-13 00:55:13+00:00,2012-12-13 00:55:21+00:00,2012-12-13 01:19:32+00:00,0 days 00:30:00.000000000,COMPLETED,43,1032
318,320,2012-12-13 01:17:35+00:00,2012-12-13 01:17:37+00:00,2012-12-13 01:18:01+00:00,0 days 16:00:00.000000000,COMPLETED,30,720
318,320,2012-12-13 01:18:19+00:00,2012-12-13 01:18:27+00:00,2012-12-13 06:02:27+00:00,0 days 16:00:00.000000000,CANCELLED,30,720
318,320,2012-12-13 01:18:29+00:00,2012-12-13 01:18:38+00:00,2012-12-13 01:18:55+00:00,0 days 16:00:00.000000000,COMPLETED,30,720
86,87,2012-12-13 01:30:04+00:00,2012-12-13 01:30:12+00:00,2012-12-13 04:09:14+00:00,0 days 16:00:00.000000000,CANCELLED,256,6144
86,87,2012-12-13 01:30:56+00:00,2012-12-13 01:31:04+00:00,2012-12-13 01:40:35+00:00,0 days 00:30:00.000000000,COMPLETED,43,1032
86,87,2012-12-13 01:47:21+00:00,2012-12-13 01:47:29+00:00,2012-12-13 02:12:15+00:00,0 days 01:00:00.000000000,COMPLETED,86,2064
318,320,2012-12-13 01:53:20+00:00,2012-12-13 01:53:28+00:00,2012-12-13 01:53:48+00:00,0 days 16:00:00.000000000,COMPLETED,30,720
