user_ID,group_ID,submit_time,start_time,end_time,wallclock_limit,job_status,node_count,tasks_requested
86,87,2012-02-07 14:24:21+00:00,2012-02-07 14:24:23+00:00,2012-02-07 14:24:32+00:00,0 days 00:30:00.000000000,COMPLETED,128,3072
86,87,2012-02-07 14:25:04+00:00,2012-02-07 14:25:25+00:00,2012-02-07 14:32:23+00:00,0 days 00:30:00.000000000,COMPLETED,128,3072
46,46,2012-02-07 14:27:45+00:00,2012-02-07 14:28:02+00:00,2012-02-07 20:39:01+00:00,0 days 11:59:00.000000000,COMPLETED,188,4512
86,87,2012-02-07 14:31:51+00:00,2012-02-07 14:32:10+00:00,2012-02-07 14:33:07+00:00,0 days 00:30:00.000000000,CANCELLED,128,3072
86,87,2012-02-07 14:32:48+00:00,2012-02-07 14:33:12+00:00,2012-02-07 15:03:13+00:00,0 days 00:30:00.000000000,TIMEOUT,128,3072
86,87,2012-02-07 14:36:46+00:00,2012-02-07 14:36:49+00:00,2012-02-07 14:37:30+00:00,0 days 00:30:00.000000000,COMPLETED,128,3072
86,87,2012-02-07 14:39:16+00:00,2012-02-07 14:39:24+00:00,2012-02-07 14:51:21+00:00,0 days 00:30:00.000000000,COMPLETED,128,3072
102,103,2012-02-07 15:13:59+00:00,2012-02-07 15:14:06+00:00,2012-02-07 19:14:07+00:00,0 days 04:00:00.000000000,TIMEOUT,3,72
86,87,2012-02-07 15:18:34+00:00,2012-02-07 15:18:45+00:00,2012-02-07 15:19:47+00:00,0 days 00:30:00.000000000,COMPLETED,128,3072
86,87,2012-02-07 15:19:23+00:00,2012-02-07 15:19:47+00:00,2012-02-07 15:20:52+00:00,0 days 00:30:00.000000000,COMPLETED,128,3072
86,87,2012-02-07 15:20:55+00:00,2012-02-07 15:21:20+00:00,2012-02-07 15:21:52+00:00,0 days 00:30:00.000000000,COMPLETED,128,3072
86,87,2012-02-07 15:25:44+00:00,2012-02-07 15:25:59+00:00,2012-02-07 15:26:45+00:00,0 days 02:00:00.000000000,CANCELLED,320,7680
86,87,2012-02-07 15:26:49+00:00,2012-02-07 15:27:02+00:00,2012-02-07 15:27:36+00:00,0 days 02:00:00.000000000,COMPLETED,320,7680
86,87,2012-02-07 15:30:47+00:00,2012-02-07 15:31:13+00:00,2012-02-07 16:52:34+00:00,0 days 02:00:00.000000000,COMPLETED,320,7680
43,43,2012-02-07 15:38:19+00:00,2012-02-07 15:38:27+00:00,2012-02-07 15:39:17+00:00,0 days 01:00:00.000000000,COMPLETED,3,72
43,43,2012-02-07 15:41:07+00:00,2012-02-07 15:41:34+00:00,2012-02-07 15:41:36+00:00,0 days 00:10:00.000000000,COMPLETED,3,72
43,43,2012-02-07 15:43:12+00:00,2012-02-07 15:43:40+00:00,2012-02-07 15:43:47+00:00,0 days 00:10:00.000000000,COMPLETED,3,72
43,43,2012-02-07 15:46:32+00:00,2012-02-07 15:46:47+00:00,2012-02-07 15:46:54+00:00,0 days 00:10:00.000000000,COMPLETED,3,72
86,87,2012-02-07 15:54:35+00:00,2012-02-07 15:55:04+00:00,2012-02-07 15:56:06+00:00,0 days 00:30:00.000000000,COMPLETED,128,3072
86,87,2012-02-07 15:56:46+00:00,2012-02-07 15:57:11+00:00,2012-02-07 15:57:41+00:00,0 days 00:30:00.000000000,COMPLETED,128,3072
86,87,2012-02-07 16:00:12+00:00,2012-02-07 16:00:20+00:00,2012-02-07 16:31:36+00:00,0 days 01:00:00.000000000,COMPLETED,128,3072
100,101,2012-02-07 16:02:51+00:00,2012-02-07 16:02:57+00:00,2012-02-07 16:24:55+00:00,0 days 16:00:00.000000000,CANCELLED,25,600
43,43,2012-02-07 16:08:18+00:00,2012-02-07 16:08:39+00:00,2012-02-07 16:09:08+00:00,0 days 00:10:00.000000000,COMPLETED,3,72
43,43,2012-02-07 16:12:48+00:00,2012-02-07 16:13:20+00:00,2012-02-07 16:13:27+00:00,0 days 00:10:00.000000000,COMPLETED,3,72
43,43,2012-02-07 16:19:11+00:00,2012-02-07 16:19:34+00:00,2012-02-07 16:19:41+00:00,0 days 00:10:00.000000000,COMPLETED,3,72
43,43,2012-02-07 16:23:26+00:00,2012-02-07 16:23:44+00:00,2012-02-07 16:23:51+00:00,0 days 00:10:00.000000000,COMPLETED,3,72
43,43,2012-02-07 16:24:31+00:00,2012-02-07 16:24:48+00:00,2012-02-07 16:26:51+00:00,0 days 00:10:00.000000000,COMPLETED,3,72
100,101,2012-02-07 16:27:49+00:00,2012-02-07 16:27:56+00:00,2012-02-07 16:51:18+00:00,0 days 16:00:00.000000000,CANCELLED,25,600
43,43,2012-02-07 16:28:12+00:00,2012-02-07 16:28:30+00:00,2012-02-07 16:28:38+00:00,0 days 00:10:00.000000000,COMPLETED,3,72
