"timestamp","host_id","property_name","new_value"
11700,"AS0","energy_mix","Biomass:2.12;Fossil Brown coal/Lignite:11.01;Fossil Coal-derived gas:0.80;Fossil Gas:15.85;Fossil Hard coal:32.55;Fossil Oil:1.20;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.28;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:32.28;Other:3.46"
12600,"AS0","energy_mix","Biomass:2.13;Fossil Brown coal/Lignite:10.99;Fossil Coal-derived gas:0.82;Fossil Gas:15.85;Fossil Hard coal:32.64;Fossil Oil:1.20;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.28;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:32.19;Other:3.45"
13500,"AS0","energy_mix","Biomass:2.13;Fossil Brown coal/Lignite:11.10;Fossil Coal-derived gas:0.81;Fossil Gas:15.77;Fossil Hard coal:32.42;Fossil Oil:1.20;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:32.37;Other:3.48"
14400,"AS0","energy_mix","Biomass:2.13;Fossil Brown coal/Lignite:11.26;Fossil Coal-derived gas:0.81;Fossil Gas:15.79;Fossil Hard coal:32.46;Fossil Oil:1.21;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:32.17;Other:3.45"
15300,"AS0","energy_mix","Biomass:2.13;Fossil Brown coal/Lignite:11.25;Fossil Coal-derived gas:0.82;Fossil Gas:15.88;Fossil Hard coal:32.43;Fossil Oil:1.20;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:32.10;Other:3.47"
16200,"AS0","energy_mix","Biomass:2.13;Fossil Brown coal/Lignite:11.11;Fossil Coal-derived gas:0.81;Fossil Gas:15.77;Fossil Hard coal:32.54;Fossil Oil:1.20;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:32.25;Other:3.47"
17100,"AS0","energy_mix","Biomass:2.13;Fossil Brown coal/Lignite:11.06;Fossil Coal-derived gas:0.79;Fossil Gas:15.77;Fossil Hard coal:32.58;Fossil Oil:1.20;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:32.28;Other:3.47"
18000,"AS0","energy_mix","Biomass:2.11;Fossil Brown coal/Lignite:10.88;Fossil Coal-derived gas:0.79;Fossil Gas:15.72;Fossil Hard coal:32.47;Fossil Oil:1.20;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:32.67;Other:3.44"
18900,"AS0","energy_mix","Biomass:2.11;Fossil Brown coal/Lignite:10.90;Fossil Coal-derived gas:0.78;Fossil Gas:15.70;Fossil Hard coal:32.42;Fossil Oil:1.20;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:32.73;Other:3.44"
19800,"AS0","energy_mix","Biomass:2.13;Fossil Brown coal/Lignite:10.87;Fossil Coal-derived gas:0.79;Fossil Gas:15.71;Fossil Hard coal:32.34;Fossil Oil:1.20;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:32.79;Other:3.45"
20700,"AS0","energy_mix","Biomass:2.10;Fossil Brown coal/Lignite:10.95;Fossil Coal-derived gas:0.79;Fossil Gas:15.79;Fossil Hard coal:32.53;Fossil Oil:1.20;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:32.48;Other:3.44"
21600,"AS0","energy_mix","Biomass:2.10;Fossil Brown coal/Lignite:10.95;Fossil Coal-derived gas:0.78;Fossil Gas:15.90;Fossil Hard coal:33.04;Fossil Oil:1.19;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.33;Hydro Water Reservoir:0.13;Other renewable:0.34;Solar:0.00;Wind Onshore:31.80;Other:3.44"
22500,"AS0","energy_mix","Biomass:2.09;Fossil Brown coal/Lignite:10.89;Fossil Coal-derived gas:0.78;Fossil Gas:15.94;Fossil Hard coal:33.04;Fossil Oil:1.19;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.32;Hydro Water Reservoir:0.13;Other renewable:0.34;Solar:0.03;Wind Onshore:31.83;Other:3.42"
23400,"AS0","energy_mix","Biomass:2.10;Fossil Brown coal/Lignite:11.02;Fossil Coal-derived gas:0.79;Fossil Gas:16.29;Fossil Hard coal:32.78;Fossil Oil:1.20;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.33;Hydro Water Reservoir:0.13;Other renewable:0.34;Solar:0.18;Wind Onshore:31.41;Other:3.43"
24300,"AS0","energy_mix","Biomass:2.07;Fossil Brown coal/Lignite:10.87;Fossil Coal-derived gas:0.75;Fossil Gas:16.66;Fossil Hard coal:32.59;Fossil Oil:1.18;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.32;Hydro Water Reservoir:0.19;Other renewable:0.34;Solar:0.56;Wind Onshore:31.05;Other:3.42"
25200,"AS0","energy_mix","Biomass:2.02;Fossil Brown coal/Lignite:10.53;Fossil Coal-derived gas:0.71;Fossil Gas:17.53;Fossil Hard coal:33.14;Fossil Oil:1.14;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.33;Hydro Water Reservoir:0.21;Other renewable:0.33;Solar:0.65;Wind Onshore:30.13;Other:3.28"
26100,"AS0","energy_mix","Biomass:2.01;Fossil Brown coal/Lignite:10.35;Fossil Coal-derived gas:0.70;Fossil Gas:17.79;Fossil Hard coal:33.20;Fossil Oil:1.13;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.32;Hydro Water Reservoir:0.20;Other renewable:0.33;Solar:1.19;Wind Onshore:29.52;Other:3.26"
27000,"AS0","energy_mix","Biomass:2.02;Fossil Brown coal/Lignite:10.41;Fossil Coal-derived gas:0.71;Fossil Gas:17.35;Fossil Hard coal:33.22;Fossil Oil:1.12;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.32;Hydro Water Reservoir:0.19;Other renewable:0.32;Solar:1.87;Wind Onshore:29.23;Other:3.24"
27900,"AS0","energy_mix","Biomass:1.97;Fossil Brown coal/Lignite:10.41;Fossil Coal-derived gas:0.70;Fossil Gas:16.87;Fossil Hard coal:33.80;Fossil Oil:1.11;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.32;Hydro Water Reservoir:0.21;Other renewable:0.32;Solar:2.71;Wind Onshore:28.39;Other:3.19"
28800,"AS0","energy_mix","Biomass:1.92;Fossil Brown coal/Lignite:10.21;Fossil Coal-derived gas:0.68;Fossil Gas:16.50;Fossil Hard coal:34.04;Fossil Oil:1.09;Hydro Pumped Storage:0.61;Hydro Run-of-river and pondage:0.28;Hydro Water Reservoir:0.18;Other renewable:0.31;Solar:3.43;Wind Onshore:27.63;Other:3.12"
